"date","daynum","month","day","cumulative_confirmed_cases","new_confirmed_cases","cumulative_deaths","new_deaths","hospitalized_currently","hospitalized_cumulative","InICU_currently","InICU_cumulative","OnVentilator_Currently","OnVentilator_Cumulative","Recovered_Cumulative","new_hospital_deaths","Cumulative_hospital_discharges","new_hospital_discharges"
2020-02-27,58,2,27,0,NA,0,NA,1,1,0,NA,0,NA,NA,NA,0,NA
2020-02-28,59,2,28,0,NA,0,NA,1,1,0,NA,0,NA,NA,NA,0,NA
2020-02-29,60,2,29,0,NA,0,NA,1,1,0,NA,0,NA,NA,NA,0,NA
2020-03-01,61,3,1,1,NA,0,NA,1,1,0,NA,0,NA,NA,NA,0,NA
2020-03-02,62,3,2,1,NA,0,NA,2,2,0,NA,0,NA,NA,NA,0,NA
2020-03-03,63,3,3,1,NA,0,NA,2,2,0,NA,0,NA,NA,NA,0,NA
2020-03-04,64,3,4,2,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-05,65,3,5,2,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-06,66,3,6,2,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-07,67,3,7,2,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-08,68,3,8,3,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-09,69,3,9,4,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-10,70,3,10,5,NA,0,NA,3,3,0,NA,0,NA,NA,NA,0,NA
2020-03-11,71,3,11,13,NA,0,NA,4,4,0,NA,0,NA,NA,NA,0,NA
2020-03-12,72,3,12,19,NA,0,NA,5,5,0,NA,0,NA,NA,NA,0,NA
2020-03-13,73,3,13,19,NA,0,NA,8,9,0,NA,0,NA,NA,NA,1,NA
2020-03-14,74,3,14,19,NA,0,NA,8,9,0,NA,0,NA,NA,NA,1,NA
2020-03-15,75,3,15,20,NA,0,NA,9,10,0,NA,0,NA,NA,NA,1,NA
2020-03-16,76,3,16,23,NA,0,NA,11,12,0,NA,0,NA,NA,NA,1,NA
2020-03-17,77,3,17,38,NA,0,NA,17,18,0,NA,0,NA,NA,NA,1,NA
2020-03-18,78,3,18,48,NA,0,NA,20,21,0,NA,0,NA,NA,NA,1,NA
2020-03-19,79,3,19,64,NA,1,NA,21,23,0,NA,0,NA,NA,NA,2,NA
2020-03-20,80,3,20,79,NA,1,NA,26,28,0,NA,0,NA,NA,NA,2,NA
2020-03-21,81,3,21,92,NA,1,NA,27,31,5,NA,0,NA,NA,NA,4,NA
2020-03-22,82,3,22,117,NA,1,NA,29,33,5,NA,0,NA,NA,NA,4,NA
