"date","cumu_cases","cumu_hosp","cumu_deaths"
2020-01-29,6,660,0
2020-01-30,NA,660,NA
2020-01-31,NA,660,NA
2020-02-01,NA,660,NA
2020-02-02,NA,660,NA
2020-02-03,NA,660,NA
2020-02-04,NA,660,NA
2020-02-05,16,660,0
2020-02-06,NA,660,NA
2020-02-07,NA,660,NA
2020-02-08,NA,660,NA
2020-02-09,NA,660,NA
2020-02-10,NA,660,NA
2020-02-11,NA,660,NA
2020-02-12,26,660,0
2020-02-13,NA,660,NA
2020-02-14,NA,660,NA
2020-02-15,NA,660,NA
2020-02-16,NA,660,NA
2020-02-17,NA,660,NA
2020-02-18,NA,660,NA
2020-02-19,41,660,0
2020-02-20,NA,660,NA
2020-02-21,NA,660,NA
2020-02-22,NA,660,NA
2020-02-23,NA,660,NA
2020-02-24,NA,660,NA
2020-02-25,NA,660,NA
2020-02-26,65,660,0
2020-02-27,NA,660,NA
2020-02-28,NA,660,NA
2020-02-29,NA,660,NA
2020-03-01,NA,660,NA
2020-03-02,NA,660,NA
2020-03-03,NA,660,NA
2020-03-04,176,660,6
2020-03-05,NA,660,NA
2020-03-06,NA,660,NA
2020-03-07,NA,660,NA
2020-03-08,NA,660,NA
2020-03-09,NA,660,NA
2020-03-10,NA,660,NA
2020-03-11,1312,660,14
2020-03-12,NA,660,NA
2020-03-13,NA,660,NA
2020-03-14,NA,660,NA
2020-03-15,NA,660,NA
2020-03-16,NA,660,NA
2020-03-17,NA,660,NA
2020-03-18,9275,660,141
2020-03-19,NA,660,NA
2020-03-20,NA,660,NA
2020-03-21,NA,660,NA
2020-03-22,NA,661,NA
2020-03-23,NA,662,NA
2020-03-24,NA,664,NA
2020-03-25,68823,667,1268
2020-03-26,NA,669,NA
2020-03-27,NA,671,NA
2020-03-28,NA,673,NA
2020-03-29,NA,677,NA
2020-03-30,NA,679,NA
2020-03-31,NA,681,NA
2020-04-01,222777,683,6360
2020-04-02,NA,685,NA
2020-04-03,NA,687,NA
2020-04-04,NA,689,NA
2020-04-05,NA,689,NA
2020-04-06,NA,763,NA
2020-04-07,NA,839,NA
2020-04-08,442250,903,18923
2020-04-09,NA,977,NA
2020-04-10,NA,1110,NA
2020-04-11,NA,1212,NA
2020-04-12,NA,1335,NA
2020-04-13,NA,1448,NA
2020-04-14,NA,1552,NA
2020-04-15,648932,1608,34465
2020-04-16,NA,1646,NA
2020-04-17,NA,1732,NA
2020-04-18,NA,1799,NA
2020-04-19,NA,1882,NA
2020-04-20,NA,1948,NA
2020-04-21,NA,1996,NA
2020-04-22,847404,1996,49910
2020-04-23,NA,2046,NA
2020-04-24,NA,2114,NA
2020-04-25,NA,2179,NA
2020-04-26,NA,2220,NA
2020-04-27,NA,2268,NA
2020-04-28,NA,2312,NA
2020-04-29,1045491,2380,63811
2020-04-30,NA,2491,NA
2020-05-01,NA,2592,NA
2020-05-02,NA,2695,NA
2020-05-03,NA,2777,NA
2020-05-04,NA,2855,NA
2020-05-05,NA,2921,NA
2020-05-06,1234519,2948,76634
2020-05-07,NA,3012,NA
2020-05-08,NA,3086,NA
2020-05-09,NA,3168,NA
2020-05-10,NA,3228,NA
2020-05-11,NA,3281,NA
2020-05-12,NA,3335,NA
2020-05-13,1394499,3395,87063
2020-05-14,NA,3466,NA
2020-05-15,NA,3528,NA
2020-05-16,NA,3621,NA
2020-05-17,NA,3687,NA
2020-05-18,NA,3750,NA
2020-05-19,NA,3819,NA
2020-05-20,1552344,3901,96563
2020-05-21,NA,3961,NA
2020-05-22,NA,3982,NA
2020-05-23,NA,4040,NA
2020-05-24,NA,4086,NA
2020-05-25,NA,4132,NA
2020-05-26,NA,4171,NA
2020-05-27,1698633,4217,103388
2020-05-28,NA,4263,NA
2020-05-29,NA,4309,NA
