Data Table for Cumulative Deaths - The United States
Date generated: Thu Sep 07 2023 17:02:51 GMT-0400 (Eastern Daylight Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Sep  2 2023,1140278,Sep  6 2023
United States,Aug 26 2023,1140007,Sep  6 2023
United States,Aug 19 2023,1139349,Sep  6 2023
United States,Aug 12 2023,1138627,Sep  6 2023
United States,Aug  5 2023,1137955,Sep  6 2023
United States,Jul 29 2023,1137324,Sep  6 2023
United States,Jul 22 2023,1136804,Sep  6 2023
United States,Jul 15 2023,1136289,Sep  6 2023
United States,Jul  8 2023,1135795,Sep  6 2023
United States,Jul  1 2023,1135326,Sep  6 2023
United States,Jun 24 2023,1134797,Sep  6 2023
United States,Jun 17 2023,1134230,Sep  6 2023
United States,Jun 10 2023,1133635,Sep  6 2023
United States,Jun  3 2023,1133021,Sep  6 2023
United States,May 27 2023,1132340,Sep  6 2023
United States,May 20 2023,1131608,Sep  6 2023
United States,May 13 2023,1130857,Sep  6 2023
United States,May  6 2023,1130030,Sep  6 2023
United States,Apr 29 2023,1129094,Sep  6 2023
United States,Apr 22 2023,1128078,Sep  6 2023
United States,Apr 15 2023,1126892,Sep  6 2023
United States,Apr  8 2023,1125677,Sep  6 2023
United States,Apr  1 2023,1124312,Sep  6 2023
United States,Mar 25 2023,1122873,Sep  6 2023
United States,Mar 18 2023,1121214,Sep  6 2023
United States,Mar 11 2023,1119455,Sep  6 2023
United States,Mar  4 2023,1117610,Sep  6 2023
United States,Feb 25 2023,1115626,Sep  6 2023
United States,Feb 18 2023,1113481,Sep  6 2023
United States,Feb 11 2023,1111391,Sep  6 2023
United States,Feb  4 2023,1109053,Sep  6 2023
United States,Jan 28 2023,1106420,Sep  6 2023
United States,Jan 21 2023,1103519,Sep  6 2023
United States,Jan 14 2023,1100280,Sep  6 2023
United States,Jan  7 2023,1096604,Sep  6 2023
United States,Dec 31 2022,1092743,Sep  6 2023
United States,Dec 24 2022,1089086,Sep  6 2023
United States,Dec 17 2022,1085768,Sep  6 2023
United States,Dec 10 2022,1082585,Sep  6 2023
United States,Dec  3 2022,1079554,Sep  6 2023
United States,Nov 26 2022,1076965,Sep  6 2023
United States,Nov 19 2022,1074472,Sep  6 2023
United States,Nov 12 2022,1072217,Sep  6 2023
