Data Table for Weekly Case Trends - The United States
Date generated: Thu Dec 15 2022 19:47:10 GMT-0800 (Pacific Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,Dec 14 2022,455466,0
United States,Dec  7 2022,469240,0
United States,Nov 30 2022,307623,0
United States,Nov 23 2022,307201,0
United States,Nov 16 2022,281270,0
United States,Nov  9 2022,289676,0
United States,Nov  2 2022,274004,0
United States,Oct 26 2022,261849,0
United States,Oct 19 2022,261092,0
United States,Oct 12 2022,265309,0
United States,Oct  5 2022,320143,0
United States,Sep 28 2022,342165,0
United States,Sep 21 2022,396953,0
United States,Sep 14 2022,470744,0
United States,Sep  7 2022,526058,0
United States,Aug 31 2022,614595,0
United States,Aug 24 2022,652122,0
United States,Aug 17 2022,693467,0
United States,Aug 10 2022,773303,0
United States,Aug  3 2022,837223,0
United States,Jul 27 2022,926486,0
United States,Jul 20 2022,901038,0
United States,Jul 13 2022,865705,0
United States,Jul  6 2022,774984,0
United States,Jun 29 2022,772341,0
United States,Jun 22 2022,683470,0
United States,Jun 15 2022,727414,0
United States,Jun  8 2022,759621,0
United States,Jun  1 2022,714655,0
United States,May 25 2022,765586,0
United States,May 18 2022,710021,0
United States,May 11 2022,589820,0
United States,May  4 2022,456205,0
United States,Apr 27 2022,370723,0
United States,Apr 20 2022,296617,0
United States,Apr 13 2022,229016,0
United States,Apr  6 2022,195772,0
United States,Mar 30 2022,193959,0
United States,Mar 23 2022,194339,0
United States,Mar 16 2022,213807,0
United States,Mar  9 2022,270948,0
United States,Mar  2 2022,370799,0
United States,Feb 23 2022,550885,0
United States,Feb 16 2022,930261,0
United States,Feb  9 2022,1495314,0
United States,Feb  2 2022,2719636,0
United States,Jan 26 2022,4434671,0
United States,Jan 19 2022,5629699,0
United States,Jan 12 2022,5488600,0
United States,Jan  5 2022,4090477,0
United States,Dec 29 2021,2105883,0
United States,Dec 22 2021,1146388,0
United States,Dec 15 2021,841878,0
United States,Dec  8 2021,847155,0
United States,Dec  1 2021,613358,0
United States,Nov 24 2021,672938,0
United States,Nov 17 2021,614660,0
United States,Nov 10 2021,535484,0
United States,Nov  3 2021,502943,0
United States,Oct 27 2021,503032,0
United States,Oct 20 2021,532219,0
United States,Oct 13 2021,619365,0
United States,Oct  6 2021,704747,0
United States,Sep 29 2021,799802,0
United States,Sep 22 2021,921526,0
United States,Sep 15 2021,1085577,0
United States,Sep  8 2021,1068488,0
United States,Sep  1 2021,1175792,0
United States,Aug 25 2021,1009537,0
United States,Aug 18 2021,999786,0
United States,Aug 11 2021,901964,0
United States,Aug  4 2021,670341,0
United States,Jul 28 2021,453136,0
United States,Jul 21 2021,287883,0
United States,Jul 14 2021,178331,0
United States,Jul  7 2021,109598,0
United States,Jun 30 2021,93905,0
United States,Jun 23 2021,82245,0
United States,Jun 16 2021,87458,0
United States,Jun  9 2021,100622,0
United States,Jun  2 2021,113058,0
United States,May 26 2021,162463,0
United States,May 19 2021,210718,0
United States,May 12 2021,255272,0
United States,May  5 2021,327527,0
United States,Apr 28 2021,370545,0
United States,Apr 21 2021,446295,0
United States,Apr 14 2021,496777,0
United States,Apr  7 2021,457296,0
United States,Mar 31 2021,447028,0
United States,Mar 24 2021,401927,0
United States,Mar 17 2021,382985,0
United States,Mar 10 2021,392664,0
United States,Mar  3 2021,444639,0
United States,Feb 24 2021,476336,0
United States,Feb 17 2021,539896,0
United States,Feb 10 2021,728867,0
United States,Feb  3 2021,956999,0
United States,Jan 27 2021,1142881,0
United States,Jan 20 2021,1381728,0
United States,Jan 13 2021,1714346,0
United States,Jan  6 2021,1603020,0
United States,Dec 30 2020,1302230,0
United States,Dec 23 2020,1504389,0
United States,Dec 16 2020,1534244,0
United States,Dec  9 2020,1487851,0
United States,Dec  2 2020,1174183,0
United States,Nov 25 2020,1254834,0
United States,Nov 18 2020,1139681,0
United States,Nov 11 2020,907148,0
United States,Nov  4 2020,694823,0
United States,Oct 28 2020,523607,0
United States,Oct 21 2020,430767,0
United States,Oct 14 2020,369184,0
United States,Oct  7 2020,316377,0
United States,Sep 30 2020,296187,0
United States,Sep 23 2020,305460,0
United States,Sep 16 2020,269897,0
United States,Sep  9 2020,255385,0
United States,Sep  2 2020,289630,0
United States,Aug 26 2020,296074,0
United States,Aug 19 2020,331061,0
United States,Aug 12 2020,378087,0
United States,Aug  5 2020,399276,0
United States,Jul 29 2020,452264,0
United States,Jul 22 2020,466693,0
United States,Jul 15 2020,440113,0
United States,Jul  8 2020,368193,0
United States,Jul  1 2020,310654,0
United States,Jun 24 2020,218907,0
United States,Jun 17 2020,158576,0
United States,Jun 10 2020,143032,0
United States,Jun  3 2020,145969,0
United States,May 27 2020,146289,0
United States,May 20 2020,157845,0
United States,May 13 2020,159980,0
United States,May  6 2020,189028,0
United States,Apr 29 2020,198087,0
United States,Apr 22 2020,198472,0
United States,Apr 15 2020,206682,0
United States,Apr  8 2020,219473,0
United States,Apr  1 2020,153954,0
United States,Mar 25 2020,59548,0
United States,Mar 18 2020,7963,0
United States,Mar 11 2020,1136,0
United States,Mar  4 2020,111,0
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,6,0
