Data Table for Weekly Death Trends - The United States
Date generated: Thu Dec 15 2022 19:48:01 GMT-0800 (Pacific Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
United States,Dec 14 2022,2703,0
United States,Dec  7 2022,3115,0
United States,Nov 30 2022,1794,0
United States,Nov 23 2022,2646,0
United States,Nov 16 2022,2213,0
United States,Nov  9 2022,2301,5
United States,Nov  2 2022,2484,6
United States,Oct 26 2022,2549,557
United States,Oct 19 2022,2525,0
United States,Oct 12 2022,2548,0
United States,Oct  5 2022,3020,0
United States,Sep 28 2022,2915,469
United States,Sep 21 2022,3134,0
United States,Sep 14 2022,3211,0
United States,Sep  7 2022,2931,0
United States,Aug 31 2022,3950,0
United States,Aug 24 2022,3137,0
United States,Aug 17 2022,3246,0
United States,Aug 10 2022,3635,0
United States,Aug  3 2022,3546,0
United States,Jul 27 2022,3166,0
United States,Jul 20 2022,2831,0
United States,Jul 13 2022,2702,0
United States,Jul  6 2022,2369,0
United States,Jun 29 2022,2614,0
United States,Jun 22 2022,2047,0
United States,Jun 15 2022,2185,0
United States,Jun  8 2022,2326,0
United States,Jun  1 2022,2100,0
United States,May 25 2022,2650,0
United States,May 18 2022,2291,0
United States,May 11 2022,2388,0
United States,May  4 2022,2778,0
United States,Apr 27 2022,2937,0
United States,Apr 20 2022,3072,0
United States,Apr 13 2022,3758,0
United States,Apr  6 2022,3845,0
United States,Mar 30 2022,5038,0
United States,Mar 23 2022,5766,0
United States,Mar 16 2022,8091,0
United States,Mar  9 2022,9159,0
United States,Mar  2 2022,10738,0
United States,Feb 23 2022,12651,0
United States,Feb 16 2022,15022,0
United States,Feb  9 2022,16169,0
United States,Feb  2 2022,17356,0
United States,Jan 26 2022,17021,0
United States,Jan 19 2022,14178,0
United States,Jan 12 2022,13112,0
United States,Jan  5 2022,9497,0
United States,Dec 29 2021,10003,0
United States,Dec 22 2021,11706,0
United States,Dec 15 2021,9648,0
United States,Dec  8 2021,8852,2442
United States,Dec  1 2021,7313,0
United States,Nov 24 2021,8088,0
United States,Nov 17 2021,7418,0
United States,Nov 10 2021,8268,0
United States,Nov  3 2021,8495,0
United States,Oct 27 2021,9540,0
United States,Oct 20 2021,11879,0
United States,Oct 13 2021,11191,0
United States,Oct  6 2021,12628,0
United States,Sep 29 2021,13947,0
United States,Sep 22 2021,14372,0
United States,Sep 15 2021,13847,0
United States,Sep  8 2021,10944,0
United States,Sep  1 2021,10194,0
United States,Aug 25 2021,7861,0
United States,Aug 18 2021,6116,0
United States,Aug 11 2021,4864,0
United States,Aug  4 2021,3027,0
United States,Jul 28 2021,2360,0
United States,Jul 21 2021,1969,0
United States,Jul 14 2021,1905,0
United States,Jul  7 2021,1690,0
United States,Jun 30 2021,1906,0
United States,Jun 23 2021,2037,0
United States,Jun 16 2021,2335,0
United States,Jun  9 2021,2764,0
United States,Jun  2 2021,3705,0
United States,May 26 2021,3976,0
United States,May 19 2021,4079,0
United States,May 12 2021,4368,0
United States,May  5 2021,5071,0
United States,Apr 28 2021,5025,0
United States,Apr 21 2021,5051,0
United States,Apr 14 2021,5277,0
United States,Apr  7 2021,7114,0
United States,Mar 31 2021,6325,0
United States,Mar 24 2021,7297,0
United States,Mar 17 2021,7505,0
United States,Mar 10 2021,9819,0
United States,Mar  3 2021,13645,0
United States,Feb 24 2021,13873,0
United States,Feb 17 2021,14363,0
United States,Feb 10 2021,19175,0
United States,Feb  3 2021,21249,0
United States,Jan 27 2021,22529,0
United States,Jan 20 2021,21582,0
United States,Jan 13 2021,23402,0
United States,Jan  6 2021,19395,0
United States,Dec 30 2020,17044,0
United States,Dec 23 2020,19523,0
United States,Dec 16 2020,18686,0
United States,Dec  9 2020,16613,0
United States,Dec  2 2020,12572,0
United States,Nov 25 2020,12546,0
United States,Nov 18 2020,9556,0
United States,Nov 11 2020,8231,0
United States,Nov  4 2020,7130,0
United States,Oct 28 2020,6142,0
United States,Oct 21 2020,5859,0
United States,Oct 14 2020,5305,0
United States,Oct  7 2020,5014,0
United States,Sep 30 2020,5157,0
United States,Sep 23 2020,5427,0
United States,Sep 16 2020,5781,0
United States,Sep  9 2020,5217,0
United States,Sep  2 2020,6105,0
United States,Aug 26 2020,6573,0
United States,Aug 19 2020,7024,0
United States,Aug 12 2020,7324,0
United States,Aug  5 2020,7397,0
United States,Jul 29 2020,7545,0
United States,Jul 22 2020,6105,0
United States,Jul 15 2020,5430,0
United States,Jul  8 2020,4444,0
United States,Jul  1 2020,3851,0
United States,Jun 24 2020,4092,0
United States,Jun 17 2020,4638,0
United States,Jun 10 2020,5105,0
United States,Jun  3 2020,6524,0
United States,May 27 2020,6825,0
United States,May 20 2020,9500,0
United States,May 13 2020,10429,0
United States,May  6 2020,12823,0
United States,Apr 29 2020,13901,0
United States,Apr 22 2020,15445,0
United States,Apr 15 2020,15542,0
United States,Apr  8 2020,12563,0
United States,Apr  1 2020,5092,0
United States,Mar 25 2020,1127,0
United States,Mar 18 2020,127,0
United States,Mar 11 2020,8,0
United States,Mar  4 2020,6,0
United States,Feb 26 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb  5 2020,0,0
United States,Jan 29 2020,0,0
